tweet_text,caution_and_advice,displaced_people_and_evacuations,infrastructure_and_utility_damage,injured_or_dead_people,missing_or_found_people,not_humanitarian,other_relevant_information,requests_or_urgent_needs,rescue_volunteering_or_donation_effort,sympathy_and_support
I cant believe this man is the president!! Thousands of people lost their homes belongings etc. some lost their lives from this fire. Yet this is what you tweet out!! I hope in 2020 we have a new president! This makes me sick! #WoolseyFire,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"Of the 23 people killed by the fire in Paradise, California, 6 died in cars. Again and again in California’s battle with wildfires, roads have emerged as a major vulnerability for those escaping.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"11/14 DONATIONS UPDATE: You can send both Gift and Gas cards to the following location, or make a donation directly through the following website: First Lutheran Church C/O Camp Fire Evacuees 19 Colusa Street Orland, CA 95963",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"RT @kron4news: #BREAKING: 56 dead, nearly 9,000 homes lost in Butte County wildfire.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"Update: Officials report that the #CampFire has destroyed 6,713 structures. It is now the most destructive individual fire on record in California. Seven of the top 20 most destructive fires in the state have occurred since October 2017. Utterly remarkable.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
They follow wildfires and rainfall. Cycle of misery.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Raging California wildfires give us a taste of climate change,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
@stephenasmith @60Minutes Shed any tears for American citizens dying in California fires? What a phony.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"For an additional view on these fires, even just a little while ago, check out a video called  Plan to Burn up Northern California Disclosed, from Deb Tavaras ( 2/28/18) on StopTheCrime.netNEW channel. She said the gas company is owned by the Rotchilds .@GodRulesNET",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Just in: Heavy rain could trigger flash floods, mudslides in areas scorched by wildfires  via @AJBCSurveys #whatsnew #stayinformed",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Please donate to the Camp Fire victims in Paradise, CA. @PetStylesStacy have a wedding registry” on Amazon. Look for Camp Fire &amp; Paradise Butte County”.Matthew is from Paradise-he and his wife are helping out the community. Many people displaced, sleeping in tents.Please help!",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"Holy Shit!!! This is Malibu, California. My heart goes out to all my friends @joerogan @OGEverlast and everyone else who has been impacted by these horrible fires. Photo by @nickthetooth",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Death Toll In #California #Wildfires Rises To 56 After Popular Retiree Town Is Totally Destroyed,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"Teleconference from his golf course where he is safe, warm, and will enjoy a thanksgiving dinner. But never will he actually set foot in a military camp where they’re eating turkey on paper plates. Or a food line in California where displaced fire victims will have to make do.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"I think it’s safe to say, I’m excited for his hypertension to start kicking in - hope these years of Arby’s find an artery quick. My friends and neighbors homes are burning because our forests are poor? WHAT?!? I didn’t know money stopped fire, I thought it was water — appalled",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Where the was FEMA?! Grim Scene for Fire Victims in Chico California Forced to Survive in Wal  via @YouTube,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Those who managed to escape the California wildfires before their homes were reduced to cinder had to contend with a difficult dilemma: You have mere minutes before you must run. What do you take? What do you leave behind?,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
RT @bjpenndotcom: Sending prayers to @joerogan and all of the families affected by the horrific wildfires in California.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
BREAKING NEWS: Authorities say 1000 people are now unaccounted for and 71 are dead in the California Wildfires.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
How come there is no reporting on @JerryBrownGov and what he has done to promote and allow these fires? @ChrisCuomo @jaketapper @maggieNYT @seanhannity @TuckerCarlson #MAGA #CaliforniaWildfires #BrowardElectionFraud #Qanon #AskTheQuestion,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"With the death toll now at 42, and more than 7100 structures consumed, the #CampFire is the deadliest and most destructive wildland fire in California history",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"@realannapaulina 77 SanDiego USN BOOT CAMP Fire fighting and damage controleὡC After putting us in a closed room with no windows or ventilation! Amazingly Healed within 15-20 min. 59 years old,13 Grand children! DONT PUT YOUR CHILDREN BETWEEN YOU AND BOARDER GUARDS! THEIR FAULT NOT AMERICAS!",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
RT @HOUSEOFMACLEAN: How and why do these awful fires keep happening in California ? Very unfortunate.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"@RawStory @Ohio Ohio County GOP Makes An Idiotic, Ludicrous, Heartless, Un-American Statement About Californias Wild Fires On FaceBook!!",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"For all those battling active California wildfires, these timely tips from @Experts_Com’s property damage restoration experts are helpful in assessing property damage and filing insurance claims. #CalFire #WoosleyFire",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"JUST IN: Officials in California report the death toll has risen to 31, while 228 people are still unaccounted for. Read more, on the app. But, this is NOT a national emergency to ⁦scumbag @realDonaldTrump⁩ #MAGA (Via WFSB)",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
To help people affected by the California wildfires text CAWLDFIRES to 90999 to donate $10 to American Red Cross California Wildfires Relief. *Message &amp; data rates may apply,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
RT @alizardx: @TheRaDR i think the CA Camp Fire destroyed 10K housing units so far. We dont have anywhere to put the former occupants.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
@SarahJKS77 @wmioa @andylassner Im not trying to be a smart-ass there should be a way to figure out how they can get water through a forest that is bound to catch fire by even lightning striking it things need to be fixed in California and I dont mean the Border,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"New York Times: Fact Check: Trump’s Misleading Claims About California’s Fire ‘Mismanagement’ New York Times: On Twitter, the president claimed that the state’s wildfire woes are a result of poor forest management. The truth is more complicated. shamelnews",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Camp-Fire CA 71dead1600 missing Hundreds are living in tents in the parking lot of #Walmart. Walmart has demanded they leave. They should be opening their doors and helping these people! In #HolidaySpirit Lets #BoycottWalmart ***************** PLEASE RETWEET,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"RT theadvertiser California fires: 31 dead and toll could rise; 150,000 force to flee",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
RT @SkyNews: California wildfire deaths rise to 71 ahead of Trump visit,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
RT @the_journi: More Butte County residents allowed home to survey the damage done by the Camp Fire,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RT @TIME: 31 people have died and over 220 are unaccounted for in the devastating California wildfires. Heres what to know,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
RT @MavrocksGirl: Evacuation centers full as people seek shelter from California fires  via,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"California wildfires death toll climbs to 87, almost 500 still unaccounted for - ABC News -  via @ABC The Tree Huggers who are against Forest Management principles as practiced in Europa and some Easter US States",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"A staggering 6,453 homes. More than 200 people are unaccounted for in Paradise, and officials are bracing for the possibility that the death toll could rise significantly. Tomorrow will bring more sad news from California.",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"It will burn, but it will always regrow. Our hearts go out to all those impacted by the wildfires in California. There are some things that can never be replaced, but thankfully are forests are not one of them. Were committed to keeping forests as forests. #forestproud",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"@SenWarren The wildfires in California have no correlation to climate change. The correlation of CA wildfires is the liberal government wont do control burns and people are not educated on causes of fire, because obviously you are one of them as well. God bless America.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
The California Fires loss from a car guys perspective Ouch!,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
More help for those stuck with animals!! Please pass along! The power of social media can be incredible ❤️❤️ #LAFires #CaliforniaFires #california #Woolseyfire #hillfire #malibu #AgouraHills #Calabasas #losangeles #LAFires,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
#Maps and satellite imagery show the damage of the #CampFire.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amy Schumer evacuated from the California fires | Bobs Blitz  via @BobsBlitz,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wallingford homeless camp fire threatens homes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
its our time to help. playing the camp fire benefit concert on 12/3 at the grounds in roseville. all of the money from tickets benefits the salvation armys efforts in the camp fire.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Black Friday idea I want to endorse: kick it off with a donation. One option: CA wildfire victims. Excellent list from @KQED here  Also: @voxdotcom list of most effective charities is here:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Tfw the government gives more fucks about lettuce than the fires in California,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"Well thats clever If you dont care about the thousands displaced, killed and wiped out. BTW #California, your little fires are affecting the",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"15 FIRES We now have 15 fires burning in my beautiful State of California! 6,700 structures destroyed so far! ὡ4ὒ5 The most destructive fire in history. 7 deaths! ὡ4 Sad. Camp, Woolsey, Hill",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
You are a festering hemorrhoid on the butt of humanity. Nine people have died so far.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"RT @stevenacurtis: Via @LATimes✔️ California fires: Number of structures destroyed soars to 1,452 in L.A. and Ventura counties",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"The California Camp Fire destroyed nearly 14,000 homes, but rising up out of the ashes is a day of hope: Thanksgiving. @WCKitchen has been preparing turkey dinners for thousands of evacuees. @DeMarcoReports has more.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"HISTORIC DESTRUCTION: The raging #CampFire in #ButteCounty is now the MOST destructive wildfire in California history. Authorities say 6,713 buildings were destroyed, mostly homes. At least 9 people were killed trying to escape the flames in and around the town of #Paradise",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#How California’s Governor Turned Latest Fire Into Unprecedented Disaster,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"Heartbreaking - Tears and prayers ὤFἿB It’s a ‘shock’ to fly over these smokey skies. Bay Area schools closed tomorrow, &amp; this is NOTHING compared to what they are going through #Devastating Camp Fire wildfire death toll rises to 63, sheriff says ”",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
to bad he told the truth and you are either ignorant or just hateful. California wildfires: Finland bemused by Trump raking comment,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"@dodo This video clip shows clear evidence that the California fires are not random forest fires, but have actually been deliberately created through the use of advanced technology that is used to target housing!",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
RT @bennydiego: Death toll jumps to 23 in Northern Californias Camp Fire after officials announced 14 more bodies have been recovered.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
And what would they say if conservatives did the same thing about California and all the wildfires?!!!,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Can this fucker get any more narcissist? Gross. People were legit killed by these fires and he just Wants to pint fingers.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Search Continues in NorCal Fire as Death Toll Rises to 23 #JoeAllen&amp;Olivia #FatheroftheYear,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"Pls RT &amp; share widely, let #California #artists know about this emergency assistance resource~its for ALL performing arts &amp; entertainment workers, not just actors! @kathleenmadigan @TheLewisBlack @TimRobbins1 @JohnFugelsang @CynthiaNixon @mrdannyglover @johncusack @ava @Pink",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Paradise lost, along with many other communities, as fires continue to ravage California. Authorities confirmed today that 31 people have died &amp; 228 are still unaccounted for. Its unclear if Trump will approve the disaster relief requested by Gov Brown.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
RT @ranimolla: Youre not making it up: East Coast hurricanes have gotten more media coverage than California wildfires,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"President Trump on the California wildfires: As big as they look on the tube, you dont see whats going on until you come here.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"During the season ᾘ3 of giving, remember to give to charities now assisting the victims of the wild fires in CA! Most have asked for cash or volunteer donations, being they have little storage place left for supplies donated.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"Trump blames California wildfires on poor forest management, threatens to withhold payments as death toll rises to 11 ; FOX Says ZERO No CRITICISM",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Raiders make Camp Fire relief donation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Please help my friend who lost everything in the CA fires. One of the sweetest most caring people I know. Every little bit helps.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MEGAPIXELS: #NASA provides a powerful view of #California’s deadly wildfires,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Completely devoid of any empathy for so many people who have lost literally everything. THIS is all the President had to say about the #CaliforniaFires #WoolseyFires. Wishing the best for all affected by the fires. This is just so sad.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
RT @TravisAllen02: Trump is in California blaming California for the wildfires in California. Man has no decency at all. Actually sad.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"Shame on you. We have at least 9 dead and have not even begun to count the homes lost and other damage. And this is your first tweet about the horrific fires?? Issuing an uninformed threat??? BTW, if you really do want to talk forest mismanagement, let’s start with Fed land.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
California fires do the unthinkable: Bring James Woods and Alyssa Milano together,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
RT @stonecold2050: The California fires are heartbreaking. Our heroes resting.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"CHICO, Calif. (AP) Northern California sheriff says wildfire death toll at 88 after human remains determined to belong to more than 1 body.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
RT @jvanderbeken: PG&amp;E power line eyed in Camp Fire had collapsed during 2012 storm,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thread: How are nonprofit newsrooms in California covering the wildfires in the state? (Each of these newsrooms is part of  so you can donate to support their wildfire coverage and it will be doubled) /1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
@AntonioSabatoJr Like I said before California is burning due to the policies that Democrat politicians have or have not supported its their stupidity theyre at fault at why California fails every time at large fires. Its time we make a change stop voting in Democrats.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"Multiple wildfires. Thousands of homes destroyed. 80 confirmed dead and almost 1,000 missing. Please donate if you can. If you cant, please RT this.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RT @NZStuff: US man survives Northern California fires by submerging himself in a stream,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"RT @SarahPalinUSA: California Fires WORSEN, Sends 250,000 Fleeing For Their Lives",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"It’s Not Just the Flames, It’s the Air Quality: As a Million Students Are Forced out of Class Due to California Wildfires and Smoke, State Schools Chief OKs Emergency Relief",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Something is really wrong with cable news. The largest metropolitan areas in both Northern and Southern California have been surrounded by fire. Smoke is causing hazardous health conditions for millions of people. But cable news doesn’t even care about the West Coast. At all.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
