tweet_text,predictions_class,class_label
RT @bnottingham: @danjackie2014 and Pastor Weaver sending @ChickPub tracts with relief supplies to #EcuadorEarthquake victims /,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort
"RT @OmanReagan: 36 hours after the earthquake: 500 dead, 2,000 missing, and as many as 100,000 in need of aid. via @nashiraprime .",injured_or_dead_people,injured_or_dead_people
RT @DrGaboRebo: Please help #Ecuador donating in this fund created by the @QuitoShapers @GSPanama @globalshapers,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort
"RT @itvnews: Ecuador earthquake latest: *77 dead, presidents office says *National emergency declared",injured_or_dead_people,injured_or_dead_people
"RT @SkyNews: Watch: a 7.8-magnitude earthquake hits Ecuador, causing an entire town to collapse and killing over 70 people",injured_or_dead_people,injured_or_dead_people
"Retweeted CNN Breaking News (@cnnbrk): Powerful earthquake that hit Ecuador has killed at least 41 people,",injured_or_dead_people,injured_or_dead_people
RT @SkyNewsBreak: 33-year-old Irish nun Theresa Crockett is confirmed to have been among 350 people killed in 7.8 magnitude earthquake whic,injured_or_dead_people,injured_or_dead_people
"RT @BBCBreaking: At least 16 people reported killed as huge earthquake hits coastal Ecuador, vice-president says",injured_or_dead_people,injured_or_dead_people
"Firefighters pull survivor from collapsed building in Manta, on Ecuadors central coast.",rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort
"RT @FoxNews: UPDATE: Ecuador vice president says death toll in earthquake rises to 77, more than 570 wounded",injured_or_dead_people,injured_or_dead_people
Thousands Ecuadoreans Injured After An Earthquake Smash  vía @waspadaonline,injured_or_dead_people,injured_or_dead_people
RT @businessinsider: Dozens killed as huge earthquake hits Ecuador — and the death toll is expected to rise,injured_or_dead_people,injured_or_dead_people
238 dead as quake devastates Ecuador’s coast zone  #FurorePK #Pakistan,injured_or_dead_people,injured_or_dead_people
"RT @StephChuang: Recounting hrs,days after #1906quake in #SF.Ceremony pays tribute to victims of #JapanEarthquake #EcuadorEarthquake :",sympathy_and_support,sympathy_and_support
RT @ditmirbushati: My thoughts &amp; prayers w/ people of #Ecuador. Sincere sympathies to families of victims &amp; to all affected by earthquake.,sympathy_and_support,sympathy_and_support
RT @luxsfre: Heres what could happen if a magnitude 8.0 earthquake struck #SanFrancisco today,other_relevant_information,other_relevant_information
RT @Panda_Brittany1: Ecuador has just experienced an 7.8 magnitude earthquake. There were about 41 deaths. Pray for EcuadorὤFὤF #PrayForEcuad,injured_or_dead_people,injured_or_dead_people
RT @playing4change: Our thoughts go out to all the people affected by the earthquake in Ecuador. #EcuadorEarthquake,sympathy_and_support,sympathy_and_support
RT @rainbowlarryx: @RestingPlatypus there was a 7.8 earthquake in ecuador yesterday u can help the victims donating here itd be great http,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort
Ecuador earthquake: death toll triples to 233 following 7.8-magnitude quake - latest developments,injured_or_dead_people,injured_or_dead_people
RT @CBSNews: Death in the dark: Massive Ecuador quake kills dozens; 6x stronger than Japans last temblor,injured_or_dead_people,injured_or_dead_people
RT @weatherchannel: BREAKING: Death tolls rises to 233 after Saturdays 7.8 #earthquake in Ecuador:,injured_or_dead_people,injured_or_dead_people
RT @rivayeo: donate to help those affected by the earthquake in ecuador!! #canoa #ecuador,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort
RT @ERojasLevi: The most pressing need is finding equipment and professionals to assist in rescue operations. #EcuadorEarthquake,rescue_volunteering_or_donation_effort,other_relevant_information
RT @UNDP: Want to support victims of the #EcuadorEarthquake? Click here to find out how you can donate:  @PNUDEcuador,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort
RT @wikileaks: Donate link for Ecuador Red Cross @cruzrojaecuador #EcuadorEarthquake #SismoEcuador #FuerzaEcuador,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort
@JoshSobo not good. My country has suffered a terrible tragedy. In Ecuador last night we had an earthquake. Help us with your prayers,sympathy_and_support,sympathy_and_support
"RT @cnnbrk: Death toll climbs to 413 in Ecuador earthquake, officials say; international aid pours in.",injured_or_dead_people,injured_or_dead_people
RT @Lucho_teleSUR: Another example of damaged roads here in Ecuador post earthquake,infrastructure_and_utility_damage,infrastructure_and_utility_damage
RT @feyalegriaus: 21 @fyaecuador schools have been damaged in the #EcuadorEarthquake. Learn more:  @americamag,infrastructure_and_utility_damage,infrastructure_and_utility_damage
"RT @SenatorPeralta: If want to cooperate to help victims of Ecuador earthquake, please call my office Monday at 718.205.3881 so we can info",rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort
"RT @YourAnonCentral: Since #Ecuador earthquake struck at night, authorities warn, number of confirmed deaths likely higher by morning. htt",caution_and_advice,injured_or_dead_people
"Praying for my friends that live in Manta, Guayaquil and Portoviejo. We will overcome from this earthquake that hit Ecuador",sympathy_and_support,sympathy_and_support
"@heliisN We are safe, thanks for asking Estonia ὉC it was horrible but the coast is more destroyed than Quito ὢ2",sympathy_and_support,other_relevant_information
RT @CBSEveningNews: Frenzied scenes out of Ecuador as rescuers search for deadly earthquake survivors :,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort
"RT @ABC: JUST IN: Death toll rises to 77 from 41 in Ecuador 7.4-magnitude quake; 588 injured, says VP  /",injured_or_dead_people,injured_or_dead_people
RT @GameCIA: Death toll rises to 262 in Ecuador earthquake: There is a long list of missing people that authorities are loo,injured_or_dead_people,injured_or_dead_people
Vice President of Ecuador @JorgeGlas says rescue teams are being deployed along the coast where the earthquakes effects have been strongest,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort
RT @BBCWorld: The moment the Ecuador earthquake struck. At least 77 people were killed and 500 injured.,injured_or_dead_people,injured_or_dead_people
"Weve raised $9,185 in just a few hours of having this Ecuador Relief Fund open! That will go a long way towards",rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort
"RT @CPPGeophysics: Many great figures of Ecuador tectonics in , this one shows interseismic GPS &amp; past ruptures http",other_relevant_information,other_relevant_information
RT @shababaty: #Manta Airport after #Ecuador earthquake. Completely destroyed  #PrayForEcuador #AyudaManta,infrastructure_and_utility_damage,infrastructure_and_utility_damage
@JustinTrudeau why canada can not help Ecuador both country are my home ? Where is the aid ?,rescue_volunteering_or_donation_effort,requests_or_urgent_needs
RT @mhjvandenberg: #Earthquake in #Ecuador off coast Manabí leaves 41 people dead @AJENews,injured_or_dead_people,injured_or_dead_people
Check it out! I donated to Help Ecuadors earthquake victims  vía @gofundme,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort
RT @TheTodayShow: State of emergency declared in Ecuador as the death toll from a powerful earthquake rises to over 230. #9Today .,injured_or_dead_people,injured_or_dead_people
"RT @cctvnews: Death toll from #EcuadorEarthquake climbs to 41, casualties expected to increase, says vice president Jorge Glas",injured_or_dead_people,injured_or_dead_people
RT @SavetheChildren: We are responding to the needs of children and families affected by #earthquake in #Ecuador #EcuadorEarthquake,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort
"77 killed, hundreds hurt in Ecuadors 7.8 earthquake",injured_or_dead_people,injured_or_dead_people
Earthquake Kills 41 in Ecuador; Death Toll Expected to Rise: The strongest earthquake to hit Ecuador in decade,injured_or_dead_people,injured_or_dead_people
"my heart is aching today for all of the people affected by the earthquake in ecuador last night,",sympathy_and_support,sympathy_and_support
RT @SDGFund: .@UNDP activates donation line to support victims of #EcuadorEarthquake:  cc @PNUDEcuador,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort
RT @TwitterMoments: A 7.8-magnitude earthquake struck the coast of #Ecuador on Saturday.,caution_and_advice,caution_and_advice
"@TheEllenShow Ellen, the great humanitarian, I ❤, respect n admire u.Will u please encourage donations 4 #EcuadorEarthquake victims? We need",rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort
"Powerful Earthquake Hits Ecuadors Coast, Killing At Least 28: At least 28 have been killed after a 7.8 magnit",injured_or_dead_people,injured_or_dead_people
RT @dangerousvarmit: If you want to help the people who lost everything in the earthquake please make your donation! Ecuador needs,rescue_volunteering_or_donation_effort,requests_or_urgent_needs
"RT @telesurenglish: Hundreds of Ecuadoreans are donating food, water, and other supplies in Quito. #EcuadorListoYSolidario",rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort
@viticci @marcoarment @reneritchie Massive earthquake hit us over the weekend. People are in desperate need of help:,requests_or_urgent_needs,requests_or_urgent_needs
Ecuador Earthquake Leaves Dozens Dead As Death Toll Continues To Rise,injured_or_dead_people,injured_or_dead_people
RIP to those who died in the #Ecuador earthquake. Praying for those in the area to stay safe. ὤFἿC὇CἿB὇CἿD,sympathy_and_support,sympathy_and_support
RT @DocFossil: 7.8 Earthquake in Ecuador more powerful than Japan. Strongest since 1979. Some landslides block rescue efforts.,other_relevant_information,other_relevant_information
RT @humanityfirstuk: Our thoughts are with the people of #Ecuador after the terrible #earthquake last night. HF ready to help if needed.,sympathy_and_support,sympathy_and_support
My heart goes out to earthquake victims in Ecuador&amp;Japan.,sympathy_and_support,sympathy_and_support
"Ecuador’s quake deaths mount amid ruin, misery  #MGWV #TFB #F4F",injured_or_dead_people,injured_or_dead_people
RT @guardian: Dozens killed as magnitude 7.8 earthquake hits Ecuador,injured_or_dead_people,injured_or_dead_people
RT @pastortedwilson: Please pray for the relief and assistance efforts for the dear people of Ecuador.,sympathy_and_support,sympathy_and_support
Latest: Ecuador quake damage could hit $1B; and other MoneyWatch headlines,infrastructure_and_utility_damage,infrastructure_and_utility_damage
The Rising Death Toll in Ecuadors Earthquake - Officials say at least 233 people have been killed in the count,injured_or_dead_people,injured_or_dead_people
RT @ABCNews24: At least 272 people dead in #EcuadorEarthquake. @marycarvajal tells @bevvo14 that areas are difficult to reach /,injured_or_dead_people,injured_or_dead_people
RT @CoryBooker: My thoughts and prayers are with all those who are struggling and suffering in the aftermath of the earthquakes in Japan an,sympathy_and_support,sympathy_and_support
RT @RafaelNadalFC: Thoughts going out to those affected by the earthquake in Ecuador. ὡ4,sympathy_and_support,sympathy_and_support
"RT @compassion: While reports of the #EcuadorEarthquake damage are still being gathered, we KNOW help is needed. Give here -",infrastructure_and_utility_damage,requests_or_urgent_needs
RT @SoyFederista: We want to show our support to Ecuador and its people after the horrible earthquake that happened. @Giovalapentti @Andres,sympathy_and_support,sympathy_and_support
Ecuador need help donate pleaseὢDὢD #EcuadorEarthquake,requests_or_urgent_needs,rescue_volunteering_or_donation_effort
7.8 magnitude earthquake kills 77 in Ecuador; death toll expected to rise  #Pakistan #News,injured_or_dead_people,injured_or_dead_people
An Earthquake in Ecuador - At least 41 people are dead and dozens are wounded after a quake struck the South Am,injured_or_dead_people,injured_or_dead_people
RT @PageantsNEWS: Praying for the victims of the terrible earthquake today. #PrayForEcuador - From Paris with love ❤️,sympathy_and_support,sympathy_and_support
RT @ARMcChesney: The Maria Luiz church Adventist church destroyed in quake (from #Ecuador Union),infrastructure_and_utility_damage,infrastructure_and_utility_damage
RT @WFP: Our thoughts are w/ people of #Ecuador as #quake claims lives. @WFP monitoring &amp; ready to support Govt response,sympathy_and_support,sympathy_and_support
RT @DaniloEddy: Are you still flying into #Ecuador? Id like to send some items for those affected by the Earthquake today? @FedExHelp @DHL,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort
"RT @coffeereview: El Sitio #Ecuador by @LexingtonCoffee Lovely, classic coffee - 94 pts! Review: Review:  Shop: http",other_relevant_information,not_humanitarian
RT @CarlosA56338438: 7.8 earthquake in Ecuador - there have been more than 50 aftershocks in the areas near the epicenter (Pedernales) http,other_relevant_information,other_relevant_information
RT @EdJoyce: [Update] At least 41 killed in 7.8 magnitude #Ecuador earthquake @AP  #Pedernales flattened,injured_or_dead_people,injured_or_dead_people
"Thanks for your donations, we are working hard to get the help to those in need in Ecuador.",rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort
@TheRock Ecuador suffered a fatal friend earthquake with many victims rt 24 hours ago,injured_or_dead_people,other_relevant_information
RT @NairaDaily: FLASH: Emergency declared in six provinces as deadly earthquake shakes Ecuadors central coast,caution_and_advice,caution_and_advice
RT @shababaty: #PrayForEcuador #Ecuador Hope @tamsab mum rescued after 2hours under the rubble of collapsed hotel #Pedernales,rescue_volunteering_or_donation_effort,sympathy_and_support
"RT @FoxNews: Massive earthquake hits Ecuador, leaving more than 200 dead.",injured_or_dead_people,injured_or_dead_people
"Death toll stands at 233 thus far, countless injured and missing. #PrayForEcuador #EcuadorEarthquake",injured_or_dead_people,injured_or_dead_people
Im raising money for Help Ecuadors Earthquake Victims. Click to Donate:  vía @gofundme,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort
"RT @baronesaNY: #Donaciones #FuerzaEcuador - Please, support #EcuadorEarthquake Natural Disaster #Relief",rescue_volunteering_or_donation_effort,sympathy_and_support
Powerful 7.8 Magnitude Earthquake Leaves Hundreds Dead in Ecuador,injured_or_dead_people,injured_or_dead_people
RT @seref_i: Condolences and best wishes to all affected by #EcuadorEarthquake. BBC World News would like to talk to you if youre in the a,sympathy_and_support,sympathy_and_support
"RT @USATODAY: UPDATE: 77 killed, hundreds injured in Ecuadors 7.8 earthquake",injured_or_dead_people,injured_or_dead_people
RT @KRRavindran105: Bad News again. strong earthquake strikes Ecuador.More than 200 people were killed. We reach out to them &amp; will do what,injured_or_dead_people,injured_or_dead_people
RT @CBCNews: Ecuador quake death toll climbs sharply to 233,injured_or_dead_people,injured_or_dead_people
RT @guardian: Derry nun among those killed in Ecuador earthquake,injured_or_dead_people,injured_or_dead_people
"RT @business: #Ecuador earthquake: - 7.8-magnitude - Pacific coast - Major damage - 41 dead, @AP says  .",injured_or_dead_people,injured_or_dead_people
RT @topMelbourneNow: More than 70 people have been killed after a powerful earthquake struck Ecuador. 9News,injured_or_dead_people,injured_or_dead_people
RT @joelleeid: Thoughts today go to the victims &amp; survivors of tragic #EcuadorEarthquake via @RT_com,sympathy_and_support,sympathy_and_support
"230 deaths as of now and hundreds of injured people. Anything can help, please ❤️  #PrayForEcuador",injured_or_dead_people,injured_or_dead_people
RT @ESM80903: Praying for Ecuador. #EquadorEarthquake,sympathy_and_support,sympathy_and_support
Contributing to Ecuador thru the Red Cross:,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort
"If youre thinking about making a donation to help ECUADOR in the wake of the devastating earthquake, now is the",rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort
RT @andresoventi: Donate to help earthquake victims in #Ecuador   #EcuadorListoYSolidario,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort
The President of Ecuador @MashiRafael announces death toll now at 272 and could increase considerably,injured_or_dead_people,injured_or_dead_people
RT @telesurenglish: Extent of damage is huge in Portoviejo Ecuador with 1 in 4 buildings destroyed reports correspondent @Lucho_teleSUR htt,infrastructure_and_utility_damage,infrastructure_and_utility_damage
RT @flacaguerrerog: For anyone who would like to help by donating to the Ecuador disaster relief fund please use this image ὤF /,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort
Click here to support Help for Earthquake Victims ECUADOR by JoseCarlos Pere,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort
RT @AP: BREAKING: Ecuadoran security minister says earthquake death count has risen to 350.,injured_or_dead_people,injured_or_dead_people
RT @501Awani: #AWANInews Powerful 7.4 earthquake rocks Ecuador: USGS,rescue_volunteering_or_donation_effort,other_relevant_information
RT @SENAE_Aduana: [ATENTION] How to make donations to Ecuador #SismoEcuador #EcuadorEarthquake #EcuadorListoYSolidario,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort
@cnni  YOUR HELP EXPREDING THE WORD WE NEED ALL THE POSSIBLE HELP #EcuadorEarthquake #TerremotoEcuador @BarackObama,rescue_volunteering_or_donation_effort,sympathy_and_support
"@UNICEF delivers 20,000 #Water purification tablets to Pedernales area most severely affected by earthquake",rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort
Ecuadoreans show solidarity with earthquake victims: More than 350 people die in 7.8 magnitude quake that prom,injured_or_dead_people,injured_or_dead_people
"RT @fresconews: UPDATE: #EcuadorEarthquake death toll reaches 272, number expected to rise. via @AFP",injured_or_dead_people,injured_or_dead_people
Hundreds Killed In 7.8 Magnitude Earthquake In Ecuador - CBSN Live Video - CBS News,injured_or_dead_people,injured_or_dead_people
"How To Help Ecuador Earthquake Victims: After a massive earthquake hit Ecuador this weekend, volunteers and ai",rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort
#EcuadorEarthQuake Hundreds of Children Need your support! Donate Now and lets support this emergency together!,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort
RT @FLSenator_MDLP: My thoughts and prayers are with the people of #Ecuador as they bravely endure this catastrophic earthquake. /,sympathy_and_support,sympathy_and_support
RT @juanxavierdg: Crowdfunding campaign to help Ecuador Please donate and shareThank you!  @teleamazonasec @IMPA,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort
RT @itsalexaaaa_: Praying for Ecuador ὢD❤️,sympathy_and_support,sympathy_and_support
"RT @jencarlosmusic: My prayers are with my brothers in Ecuador. Stay strong, we are here for you.",sympathy_and_support,sympathy_and_support
"Raw: Ecuador Searches for Earthquake Survivors: Rescue efforts are underway in Pedernales, a town o  #USA #News",rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort
"41 people killed so far - official sources.Death toll expected to grow,especially in the Manabi province (epicenter)",injured_or_dead_people,injured_or_dead_people
Colombia among the countries providing aid #EcuadorEarthquake,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort
RT @7NewsAdelaide: At least 240 people have now died after a major earthquake in Ecuador. LATEST -  #7News /,injured_or_dead_people,injured_or_dead_people
"RT @CBCWorldNews: Ecuador earthquake kills 77, injures hundreds",injured_or_dead_people,injured_or_dead_people
"Ecuador Earthquake Kills at Least 41: The capital city of Quito, more than 100 miles from the quake’s epicenter, felt tremor for near",injured_or_dead_people,injured_or_dead_people
"(#NinoAcostaH) 246 killed, 2,500 injured in Ecuador earthquake: The strongest earthquake to hit Ecuador in dec",injured_or_dead_people,injured_or_dead_people
GUYS MY COUNTRY NEEDS HELP ‼️‼️ we experienced. 7.8 earthquake on Saturday night and many cities are DESTROYED!Read+,other_relevant_information,requests_or_urgent_needs
"RT @CanadaDev: In this difficult time, our thoughts &amp; prayers go out to the people of #Ecuador and the victims of the #earthquake – Min Bib",sympathy_and_support,sympathy_and_support
RT @paulaacee: My prayers go out to all those affected by the earthquake that took place in Ecuador ❤️἞A἞8 #PrayForEcuador,sympathy_and_support,sympathy_and_support
RT @HailsUpdates: My thoughts are with all the victims of the #EcuadorEarthquake. Sending you strength from Germany. ❤ #PrayForEcuador,sympathy_and_support,sympathy_and_support
"RT @AlexanderXV: Wasnt just a house that collapsed. Town 40,000 near the epicenter. Heavy damage #Pedernales #Ecuador #Earthquake :",infrastructure_and_utility_damage,infrastructure_and_utility_damage
RT @RehmanSid: A powerful earthquake (7.8 magnitude) has struck Ecuador. My prayers for all those affected by this calamity.,sympathy_and_support,sympathy_and_support
"Crazy shit is going down in Ecuador Earthquakes, Volcanos, Tsunami warnings ὣ1ὣ1ὣ1",caution_and_advice,caution_and_advice
RT @wikileaks: Ecuador quake official death toll has hit 413. Many give their thoughts and hearts but money and rescue equipment work,injured_or_dead_people,injured_or_dead_people
Our prayers to all of Ecuador affected by last nights earthquake,sympathy_and_support,sympathy_and_support
RT @edtech2innovate: Thoughts and prayers to those affected by the #EcuadorEarthquake. Strength to you all and Godspeed to rescue and recov,sympathy_and_support,sympathy_and_support
Devastated victims of Ecuador earthquake beg for help,rescue_volunteering_or_donation_effort,requests_or_urgent_needs
"RT @Lucho_teleSUR: The govt of Ecuador has ordered bottling companies, eg Coca-Cola, to hand over water in areas of need. Companies appear",rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort
"Microsoft makes Skype free for #Ecuador #Galapagos earthquake victims, Canon donates money",rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort
‘Considerable damage’ in Ecuador following deadly 7.8 quake,infrastructure_and_utility_damage,infrastructure_and_utility_damage
Vice President Surveys Earthquake Damage in Ecuador  @weatherchannel @danitapiadaza @Vice_Ec @JorgeGlas,infrastructure_and_utility_damage,other_relevant_information
RT @AFP: Rescuers dig for victims after Ecuador quake kills 235,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort
My heart goes out to the people affected by the Ecuador earthquake. Quito is an amazing place. Loved my time there.,sympathy_and_support,sympathy_and_support
"@Nashgrier sadly, 200 PEOPLE HAD died in Ecuador bc of the Earthquake",injured_or_dead_people,injured_or_dead_people
Thinking bout everyone affected by earthquake in Ecuador. Were praying for u.,sympathy_and_support,sympathy_and_support
RT @michaeldickson: Israeli Aid Workers Assisting in Japan and Ecuador #EcuadorEarthquake #JapanEarthquake,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort
